id;Title_1;Content_1;Title_2;Content_2;Label
1491;Update boto;"Fixes .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Make sure input value doesn't turn into;"Fixed convertvalidnormalizedlocaldateandtimestring to add the mandatory leading before seconds values that needed it added tests to see that variouslength strings with zeroes in them would roundtrip properly.



 .mach build d does not report any errors
 .mach testtidy does not report any errors
 These changes fix 



 There are tests for these changes



 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1492;Update to rustc nightly.;No description provided.;Simplify and fix iteration over radio button group;"Code for iterating over radio button group elements has been extracted to radiogroupiter
insamegroup now checks if elements are in the same tree
radiogroupname returns None if name is empty
Radio buttons now group together in orphan trees 



 .mach build d does not report any errors
 .mach testtidy does not report any errors
 These changes fix 
 There are tests for these changes";0
1493;Disable hanging hang monitor tests on windows;This avoids longrunning builds due to .;Event dispatch rewritten to align to spec activate on clicks better;"I went over the changes to the event dispatch spec that had accumulated over the past few years rewriting dispatchinvokeinnerinvoke almost completely and modifying other code where it was relevant. Most of the remaining obvious deviations from spec are things that will only come up when we start handling events in shadow DOM.
I am pushing now because I want to see CI test results but please do not approve this PR just if automated test improvements look good. I may have broken some actual UI interactions in the course of fixing synthetic events and some manual testing is needed including checking that manual interactions with interactive content continue to fire the events they're supposed to.



 .mach build d does not report any errors
 .mach testtidy does not report any errors
 These changes fix and fix and fix 



 There are automated tests for the syntheticclick parts of these changes BUT the effects on real UI events need some manual testing before merging";0
1494;Update mozjs;"Requires
servomozjs
servorustmozjs


 .mach build d does not report any errors
 .mach testtidy does not report any errors
 These changes fix GitHub issue number if applicable



 There are tests for these changes OR
 These changes do not require tests because 



 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Allow deletions from overflowed textinput;"Allow deletions from textinput when the length is greater than the max length.


 .mach build d does not report any errors
 .mach testtidy does not report any errors
 These changes fix 
 There are tests for these changes

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1495;Sync WPT with upstream;"Automated downstream sync of changes from upstream as of .
nowptsync
r servowptsync
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Sync WPT with upstream;"Automated downstream sync of changes from upstream as of .
nowptsync
r servowptsync
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1496;builddeps bump byteorder from .. to ..;"Bumps byteorder from .. to ...

Commits

abffade ..
feea impl change asptr to asmutptr to fix Miri error
dd impl prefix unsafe macros with 'unsafe'
 doc use HTTPS in links
See full diff in compare view




Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting dependabot rebase.


Dependabot commands and options

You can trigger Dependabot actions by commenting on this PR

dependabot rebase will rebase this PR
dependabot recreate will recreate this PR overwriting any edits that have been made to it
dependabot merge will merge this PR after your CI passes on it
dependabot squash and merge will squash and merge this PR after your CI passes on it
dependabot cancel merge will cancel a previously requested merge and block automerging
dependabot reopen will reopen this PR if it is closed
dependabot close will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
dependabot ignore this major version will close this PR and stop Dependabot creating any more for this major version unless you reopen the PR or upgrade to it yourself
dependabot ignore this minor version will close this PR and stop Dependabot creating any more for this minor version unless you reopen the PR or upgrade to it yourself
dependabot ignore this dependency will close this PR and stop Dependabot creating any more for this dependency unless you reopen the PR or upgrade to it yourself
dependabot use these labels will set the current labels as the default for future PRs for this repo and language
dependabot use these reviewers will set the current reviewers as the default for future PRs for this repo and language
dependabot use these assignees will set the current assignees as the default for future PRs for this repo and language
dependabot use this milestone will set the current milestone as the default for future PRs for this repo and language
dependabot badge me will comment on this PR with code to add a Dependabot enabled badge to your readme

Additionally you can set the following in your Dependabot dashboard

Update frequency including time of day and day of week
Pull request limits per update run andor open at any time
Outofrange updates receive only lockfile updates if desired
Security updates receive only security updates if desired


 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Refactor display list creation preparing for backgroundimage;backgoundimage itself will require more plumbing to get an image cache in layoutthread. This can land in the mean time.;0
1497;DependencyInjection Update servicecontainer.rst;Fix service declaration;Symfony . secrets management system;"Hi
This completes 
I also made some changes to the section in configuration.rst about environment variables to make sure that it read well with the secrets stuff.
Thanks to jderusse for doing the vast majority of the work.
Cheers";0
1498;Notifier Adds documentation for Slack stuff added in .;Closes by adding documentation for these additions related to the notifier.;Remove usages of transChoice method for Symfony .;"The transChoice method and the transChoice Twig filter were removed in Symfony .
Notes for reviewers I'm not too sure about the new Pluralized Translations section I couldn't find any other information about it in the docs so maybe it's relevant I'm not sure if there's a better place to put it maybe componentstranslation.rst or if it's even needed";0
1499;RateLimiter Closes adds information about the lock being nullable;"Closes by adding documentation about the ability to make the lock factory null to disable this behavior.
It also adds a new in sf . text about the login throttling that has it disabled by default.";Added documentation for the priority access decision strategy;fixes;0
1500;Adding HTTP Certificates;"See symfonysymfony
Questions

Should I create an anchor for verifyhost and verifypeer to be able to link directly to these headings
Maybe a link on how to actually add it to the system store For ubuntu I found httpsaskubuntu.coma and httpssuperuser.coma";Fix Typo;"Fix a typo in line is build is built

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1501;Bump Symfony PHP requirements to ..;Fixes .;Yaml Documented the yamllint binary;Fixes .;0
1502;CI Make sure composer cache is properly used;"PR made sure we had a composer cache folder. This PR is making sure we use the cache properly.
Currently we are using the following paths

varworkspace
varchecker
varsfapp

The issue is that hashFiles only works for files in varworkspace. So I moved everything down one level.

varworkspacedocs
varworkspacechecker
varworkspacesfapp

Now we will use the two new composer.lock files to know if we should save the github cache or not ie if new dependencies were updated.
I think that the composer cache will contain many versions of a package. Ie we dont need a separate cache for . and one of . etc.";Update Console Input Optional Options;"The documentation for the Option Input commands was not easy to follow. This leads to confusion such as in symfonysymfony. Modified to make it more clear what the different outcomes are and to provide a simple example before the condensed example.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1503;CI Fixed composer cache for code blocks job;"I've noticed that since we dont have a composer.json file we cannot get the path to the cache. This PR will fix that.

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Translation Added tip about the incompatibility of character;"With the ICU MessageFormat syntax the character is not valid anymore in parameter keys. It throws a UPATTERNSYNTAXERROR exception
This fix must be backported on all versions from . included since the introduction of IntlMessageFormatter";0
1504;Added indexes to sql commands used to create session tables;"As per httpsgithub.comsymfonysymfonyblob.UPGRADE..mdhttpfoundation PdoSessionHandler now precalculates the expiry timestamp in the lifetime column so the index will speed up garbage collection

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";FrameworkBundle Mention that setting router.utf is now mandatory;This fixes .;0
1505;Security Document logout.target;Fixes and;Update authorization.rst;No description provided.;0
1506;Lock Update lock.rst;fix typo;Move method and class;"It reads more natural to me.
I would check the following branches if you agree and in this case we could add a Doctor rule.
Cheers";0
1507;Update NuSOAP client example;The soapClient created in the example is an instance of the native \SoapClient class instead of NuSOAP.;Update example to use taggedlocator helper function;"For some reason all php examples use the taggedlocator helper function except one. This has been changed since I don't see any apparent reason why not to use to it also keeps the examples more consistent.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1508;CI Dont use the special respository for docsbuilder;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Form Use the get method instead of using the array;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1509;RateLimiter Fix syntax error in config;This is not the same as;Workflow Added a way to not fire the announce event;fixes;0
1510;Rewrite config form the Security bundle to use ConfigBuilders;No description provided.;adding the to .xml in the Conf Env;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1511;RateLimiter Rate Limiter Added missing opening single quotes;Added the missing opening single quotes in the PHP config example;Update setup.rst;No description provided.;0
1512;Update deprecated PHPUnit schema doc links;"PHPUnit gives Warning Your XML configuration validates against a deprecated schema.
Running the suggested .vendorbinphpunit migrateconfiguration updated phpunit.xml.dist and fixed the warning. The resulting XML is the update here.
The links to PHPUnit are also outdated updated to link to the current stable English release in the manual
Edit I'm not certain if this should be on the . branch instead since it's not directly related to Symfony. I can correct the branch if necessary";Fix damadoctrinetestbundle docs;"To sync this with the change made here dmaicherdoctrinetestbundlefabec
The PHPUnit extension does not work properly for PHPUnit . ?ƒÿò";0
1513;Adding fileloader dependency.;When trying to follow the steps described in frontendencorecopyfiles.html I'm getting an error related to the missing fileloader dependency. Adding it via yarn fixes the issue. I've updated this part of the documentation to make this part easier to implement.;Messenger Add an example for messengerfailedremove with several ids;fixes;0
1514;Messenger Add a description to the AMQP exchange arguments with example;"It took me some time to configure an alternateexchange.
Just figured to append the documentation so others can find it there.";FrameworkBundle Template Controller should accept extra arguments;"fix 
Not sure of the format of the PR in this project any help is welcome.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1515;Fixed array notation for yaml file in sessiondatabase.rst;No description provided.;Notifier Added a placeholder article for the component docs;"Notifier doesn't have docs yet. We don't link to them from symfony.com ... but we link to them from the README of the code repo. So let's add a placeholder article to avoid errors.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1516;remove unused inc files;"these inc files are not used anywhere
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Messenger Redis example with Unix Socket;"This is the documentation change for symfonysymfony .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1517;HttpKernel Minor Fix;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Server Configuration Clarified performance tip about symfonyapachepack;Fixes;0
1518;Security Update experimentalauthenticators.rst;"httpsgithub.comsymfonysymfonyblob.xUPGRADE..mdsecurity
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Console Updated section 'Building a single Command Application' with the new 'SingleCommandApplication';fixes;0
1519;HttpClient Clarifying how to autowire scoped HTTP clients;The documentation didn't make it very clear that the key of the scopedclients array was the actual service name that could be used to autowire the service. By using the same name in the code example and in the paragraph about autowiring that should be clearer to the reader.;Fixes unclear sentence in finder.rst;No description provided.;0
1520;Messenger Add a note about messengerstopworkers command;"TODO

 Reword the message to make the description clearer
 Check if we can provide a recipe to avoid the described problem.

See CachePoolPassprocess.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Hint for generating container preload file;"The container preload file will only be generated when both factories and classloader are inline so you need to set both parameters to true explicitly.

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1521;Unifying wording to configuration parameter;"Followup of 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";remove getPublicDir documentation;"see symfonysymfony comment
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1522;OptionsResolver Documenting new setPrototype method;"PR symfonysymfony
Fix 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update extending.rst;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1523;Form Documenting new priority option;"PR symfonysymfony
Fix";Update extending.rst;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1524;Security Fix some typos related to . security changes;"Spotted in .
Cheers
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update workflowandstatemachine.rst;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1525;Runtime Composer node extra.runtime.options is incorrect;"Wanted to make a change to the dotenvpath so set composer.json as per previous docs to
 runtime 
 options 
 dotenvpath environments.env
 
 

resulted in autoloadruntime.php of
runtime new runtimeSERVER'APPRUNTIMEOPTIONS' 
 'options' 
 array 
 'dotenvpath' 'environments.env'
 
 'projectdir' dirnameDIR 


Which obviously didn't work
so I propose the options node is removed from the docs and then composer.json
 runtime 
 dotenvpath environments.env
 

resulted in autoloadruntime.php
runtime new runtimeSERVER'APPRUNTIMEOPTIONS' 
 'dotenvpath' 'environments.env'
 'projectdir' dirnameDIR 


Worked for me.";FrameworkBundle Fix lock.invoice.retrytillsave.store decoration;No description provided.;0
1526;Fix typo sit'sits;Fix typo;Serializer Remove note about CsvEncoder ascollection flag;"This is the default since .
httpsgithub.comsymfonysymfonyblobaddcddbceaecebbaaccbsrcSymfonyComponentSerializerEncoderCsvEncoder.phpL";0
1527;Serializer Fixed occurence of an old FQCN notation;No description provided.;Update process.rst;No description provided.;0
1528;CI Add new rule for DOCtorRST;"Follows 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Remove recommendation;"We do not recommend to alias php to symfony anymore.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1529;Uid Add note about ULIDs not being random in one case;Without reading the ULID specification it is not obvious in this documentation that the random portion of a ULID is not entirely random when multiple are generated in the same millisecond.;Fix a minor code mistake;No description provided.;0
1530;Fix link to Composer;By the way I added a small change in the Before You Start section.;Console Fix code example for definitionList;"Hi
Some comma in the argument list of definitionList in SymfonyStyle was missing.";0
1531;remove unused inc file;vendordeps.rst.inc is not used anywhere;some spelling updates;continues;0
1532;Translation Introduce Translation Providers;"Docs for symfonysymfony symfonysymfony symfonysymfony and symfonysymfony
Ready for first review but I'm not sure that I've written documentation in the right and all required places.
ATM Translation Providers Bridges packages doesn't exists so Flex recipes are not created yet.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";DependencyInjection Reworded the article about factories;"This fixes by linking to an article which explains what factories are and by rewording contents a bit and introducing sections for a better navigation.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1533;Console Add explicit note about the type of VALUENONE;"It was not clear what the default value nor what the type returned
from InputOptionVALUENONE is.";Fixed a wrong reference;No description provided.;0
1534;Updating to PHP .;No description provided.;Testing Fix broken link;"Fix a broken link here httpssymfony.comdoccurrenttesting.htmlajaxrequests
SymfonyComponentBrowserKitClient has been replaced by SymfonyComponentBrowserKitAbstractBrowser in .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1535;Security Renamed encoders to passwordhashers;Fixes .;Fix invalid yaml;"Because deprecated 'The aliasid alias is deprecated. Don\'t use it anymore.' is not valid Yaml it leads to this error
OK All YAML files contain valid syntax.


Unexpected characters near t use it anymore.


The yaml specification says

All nonprintable characters must be escaped. YAML escape sequences use the ?Ç£\?Ç¥ notation common to most modern computer languages. Each escape sequence must be parsed into the appropriate Unicode character. The original escape sequence is a presentation detail and must not be used to convey content information.


Note that escape sequences are only interpreted in doublequoted scalars. In all other scalar styles the ?Ç£\?Ç¥ character has no special meaning and nonprintable characters are not available.

So I think removing the ' will help users who copy the configuration from the documentation.";0
1536;FrameworkBundle Document env vars in framework.ide;"This fixes .
MatTheCat please review this. Thank you";Update service id of the MailerInterface;The service id of the MailerInterface was changed in symfonysymfony to avoid an conflict with SwiftMailer;0
1537;Testing Remove docs on PHPUnit configuration;"This continues what I said in the first testing rewrite PR it's not our job to document PHPunit. I don't think we should document how to enable PHPUnit code coverage or test suites.
I checked with Laravel and Laminas and they also don't provide any detailed information about the config file.";Update doctrine.rst;Grammar.;0
1538;Testing Application testing in Symfony is fun Let's document the modern features;"This PR continues the efforts of restructuring the Testing docs

Focus more on Arrange Act Assert
Advertise modern testing features assertions. Somehow we didn't mention any easy to use assertion in the main guide but instead explained the complex dom crawler API.
Reduce some duplication. There is an astonishing number of ways to fill in and submit a form we documented at least different APIs in the main guide. I've reduced this to two a plain and short one and a longer one for more complex form submissions.

Todo preferably in a followup PR combine the testingdomcrawler and componentsdomcrawler feature documentation into testingdomcrawler.
cc Nyholm";Mailer Fixed broken link;This will fix;0
1539;Serializer update example for attributes;"update attributes example as well
see";String Replace codePoint by codePointsAt;"symfonysymfony renamed the codePoint method to codePointsAt.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1540;Config Added caution notice about nested bundle configs;Inspired by a chat with Nyholm;minor tweaks;No description provided.;0
1541;Console Updates method reference for retrieving console helpers;"While reading the docs I've found it weird that the documentation was talking about a getHelperSet method when referencing in the following codeblock the method getHelper.
This MR harmonizes the wording according to the Debug Formatter Helper";backport some tweaks from . docs;backports the tweaks made by atailouloute in that apply to . too;0
1542;Runtime Minor fixes;"These are really minor tweaks because the article is excellent and explain things in great detail.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";SMimeEncrypter add Tip;Add Tip about SmimeEncrypter to configure cipher.;0
1543;Serializer match example with description above;"Discriminator description mentions abstract class but example contains interface
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Replace references to Goutte with HttpBrowser;"With the introduction of HttpBrowser there's no need for Goutte any more but the docs currently mention both which is a little bit confusing. Also the current version of Goutte actuality extends HttpBrowser but doesn't add any functionality to it. It seems to me that Goutte is being completely replaced with HttpBrowser so there's no point in mentioning it in the docs any more.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1544;Validator Make it clear that configuring a constraint doesn't enforce anything;This is probably trivial for people who've been working for Symfony for a longer time but I found myself needing to explain this on more than one occasion so I think it would be good to mention it.;add url to bootstrap.php for older versions;"doc states that changes can be made to any Symfony . or higher app which requires different bootstrap.php solution found in comment
While I understand it's not encouraged to use unsupported versions I think this information can be useful for projects that can't be upgraded yet.";0
1545;Form Minor rewording;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update typehints;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1546;EventDispatcher Minor fixes;I have added some minor fixes to the Event Dispatcher pages.;Add documentation for new reverse method;"PR for issue 
Adding documentation in master for new reverse method
I was not sure whether it was necessary to create a new section or to add this method to an existing one i'll edit according to your opinion if necessary.";0
1547;Testing fix 'eachother' 'each other';"each other' is two separate words see httpsdictionary.cambridge.orggrammarbritishgrammareachotheroneanother
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update multipleguardauthenticators.rst;"Add missing entrypoint authenticator in PHP example
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1548;Security Fixes typo in experimental authenticators;email was not defined in the example.;Update usercheckers.rst;Remove unused import;0
1549;Update docsbuilder to version .;"We had a lot of errors when building the docs related to phpattributres. They are resolved now.
I don't get any errors when I build locally on . and .x. So I naively assume everything is fine.
I don't know why we have not updated before If there is a problem I don't know about please share.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Removed Translation component documentation;"While translation is one of the components that is used by other applications quite a lot most of the components docs was about general translator usage that also applies to usage in the framework. Setting up the translation component isn't that difficult.
This PR moves all relevant docs from the components doc to the main guide. Much of this was duplicated in both so that proves that this move is a usefull thing to do. articles have been completely removed Creating your custom message formatter and format. A custom message formatter seems really advanced usage. The Translation component provides so many formats that I think creating a custom format is also quite advanced. If it turns out this is not true we can rest assured that they still exist in GIT history so we can quickly add them back.
Please note that the main translator guide is a really ugly structured document. However let's only do the rewriting in Symfony . as lots has changed flex ICU message format etc between .x and .x.";0
1550;CI Don't use special repository for symfonytoolsdocsbuilder;"When symfonytoolsdocsbuilder is registered on packagist we can remove the composer.json and composer.lock. But Im not sure we want to do that because we dont want to live on the edge.
Blocked by symfonytoolsdocsbuilder
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Fixed problem normalizer example;No description provided.;0
1551;CICodeBlockChecker Installed tagged version instead of devmain;This will allow us to decide when changes should go public. Ie with a release.;remove old versionadded directive;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1552;Recommend using root controller attribute in route definition;"Also it is consistent with the example above
 configroutes.yaml
hello
 path hello
 controller App\Controller\HelloControllerindex
 methods GET

Checked on Symfony ..";Update Valid.rst;"Changed few doublequotes to singlequotes for code consistency

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1553;fix tagged mapping value YAML syntax;No description provided.;Validator added alpha option to country constraint;Documentation part of symfonysymfony;0
1554;Security Removed some deprecated features related to UsergetUsername;"Fixes .
The only occurrence of getUsername left in the docs is in this file httpsgithub.comsymfonysymfonydocsblob.xcomponentsmessenger.rst
Please help me to know how should I proceed to remove it. Thanks";Update guardauthentication.rst;"Minor improvements
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1555;Logger Monolog Add ConfigBuilders for Monolog;Only two more PRs after this;Update security.rst;Hello since version . we use lazy.;0
1556;Routing Fixing some typos;"Question Is this rule always true

then token will only get the last part and the rest is matched by path.

Cause if Yes the introduction doesn't make sense

you might get unexpected results

since if there's a rule it's not unexpected 
So it would be better to explain that the first parameter is always greedy.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update passwordmigration.rst;No description provided.;0
1557;Rename symfonydocstools to symfonytools;Just waiting for the actual rename.;.Security Password migration with guards;"Fixes 
When using password migration with guard you also need to implement an interface in your guard class.
Thanks chalasr for reporting this missing bit.";0
1558;Twig ConfigBuilder Use ConfigBuilder for TwigBundle;Here are config builder for TwigBundle;Update errorpages.rst;Small fixes improvements;0
1559;ConfigBuilder Adding PHP ConfigBuilders for DoctrineBundle;"All doctrine bundle configuration is converted
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update errorhandler.rst;There is no more FatalErrorException in SF .;0
1560;Uid Document the namespace string values;"Fixes .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update argumentvalueresolver.rst;No description provided.;0
1561;Fixed some typos in some images;"This finishes .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update customrouteloader.rst | Fix wrong tag;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1562;ConfigBuilder Replace all framework config;This PR will replace all framework configuration with the new ConfigBuilders.;Make custom routers compatible with the LoaderInterface;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1563;Fixed syntax errors in .x;"These errors does not exist in .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update routing.rst Fix wrong XML;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1564;Fixed syntax error in .;Here are the syntax errors I found when running the parser on ..;Update routing.rst;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1565;Fixed syntax errors on .;"I ran the new parser on .. There are about more syntax errors that I decided not to fix. Some are false positives ie a code example where we only have a PHP array. Others show some limitations of the parser. Ie we cannot automatically detect a code block with no language we currently assume it is PHP but that is not always correct.
This is the last fixes I'll do for ..";Update routing.rst;Remove missing return;0
1566;Start using ConfigBuilder;I start with documents to see how it feels.;Update injectiontypes.rst;"Typo fixed in the code snippet

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1567;update doc with maxage;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Update eventdispatcher.rst;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1568;Mercure Fix configurationblock;Hi just a minor typo but that induces a little issue while rendering;. Fixed everything found by the spellcheck builder;"This completes what I started in 
I've also committed the custom word list and Sphinx configuration. This way everyone is able to run it and I accidentially removed the word list after the last time so I don't want to loose it again.
Some quick notes

Many titles that consisted of option or function names are transformed to be a literal. This is supported by Sphinx and all references still work. On symfony.com code elements in a title are ignored and titles are displayed as normal see httpssymfony.comdoccurrentcomponentsfilesystem for an example
I once again updated many cases of library names. I used the main websitedocumentation of each library to find the proper casing e.g. NGINX webpack npm and HInclude.js.

To avoid merge conflicts I will merge this PR asap. Don't worry about the merge conflicts I'll resolve them once and then they should no longer occur";0
1569;remove .x versionadded directive;No description provided.;Update references to . version;"As version . is an LTS would be useful for the docs to reference the . version specifically when updating to this version.

 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1570;apply zendconfig .;No description provided.;remove dependency on stdlib package;This commit removes the dependency on the Stdlib package so that the Dom package can be used completely standalone. It does so by extending DOMXpath to wrap each raised error with an ErrorException with logic similar to that used in Stdlib ErrorHandler.;0
1571;Prepare for version;"This patch prepares the package for version . Specifically Updates the minimum required PHP version to .. Updates to the latest stable release of existing packages.
Adds new vspecific components  Updates the zendldap suggestion to specify a knowngood stable version of the component.
Removes the various bin scripts. The plugin map and class map generators are no longer relevant and the template map generator is now part of zendview.";patch barcode analyzer fixes;Fixes some php analyser issues;0
1572;Updated dependencies to .;"Previously we were using .. which is equivalent to ..... This is problematic as a number of components are at . and . versions and some of those newer versions include security fixes. By being too restrictive in the constraints we are locking users to insecure versions which is problematic.
As none of these new minor versions introduces backwards compatibility breaks this patch updates to use the . constraint to allow .... versions to be installed for all components.
The plan is to do an immediate .. release with these changes.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";PostRedirectGet should keep query parameters;The Post Redirect Get Plugin should keep query parameters for redirects but I don't know if this is the right approach to do this.;0
1573;Fixed typo;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Deprecate Proxy autogeneration;"Supersedes 
Ping blanchonvincent";0
1574;update latest CHANGELOG.md with correct zf version;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Fixes;Fixes;0
1575;Make zendldap optional;"Per zendframeworkzendldap ZF cannot be installed at version .. if you do not have extldap installed due to the hard requirement on that extension in zendframeworkzendldap. This patch makes zendframeworkzendldap an optional component.
After this is merged users updating ZF that need zendldap will need to perform the following to grab the zendldap requirement
 composer require zendframeworkzendldap
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Sqlsrv fixes cursor type fix utf support transaction support varbinary update support;Please merge this stuff mssql support is buggy and very limited without it.;0
1576;Pass the \r\n sequence to PartgetHeadersAsArray;"Per the gist provided by Qronicle I've created a unit test against Zend\Mail\Message and a proposed fix.
Zend\Mime\PartgetHeadersAsArray accepts an optional argument the line separator sequence. This defaults to \n but for mail messages should be \r\n. The proposed patch passes that argument when retrieving MIME headers to include in the mail message.
This is an alternative to . That patch removes all header folding. In most cases that should be acceptable but in cases where the MIME boundary is long the header could potentially exceed bytes. The attached patch preserves header folding by ensuring the correct sequence is used when aggregating MIME headers for use in a Mail message.
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Enabling the Request object to generate the correct scheme for SSL URI;"Enabling the Request object to generate the correct scheme for SSL URI requests to a web server through an HTTP proxy or load balancer.
HTTPXFORWARDEDPROTO request header is sent by load balancers instead of HTTPS to indicate the URI was requested via a secure connection.
An example of this usage is Amazon Elastic Beanstalk applications which can sit behind a load balancer when autoscaling";0
1577;ldap Fix exceptions while parsing are not captured.;Fix;Zend\Filter\Compress added PHP . support for strings in Bz and Gz decompress;"With this PR Zend\Filter\Compress\Bz and Zend\Filter\Compress\Gz are capable of decompressing Strings in PHP . without throwing a Warning like stated in 
In my research I found out that the only problem are null byte characters so we go for a check if there is a null byte char in the given content.
The skipped tests are working now in PHP .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1578;http Allow serialize any character on cookies;No description provided.;Avoid function usage in loops;"Complete the previous pull request .
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1579;mail Fix set UTF values to headers. Fix;No description provided.;Run Travis build also on PHP .;No description provided.;0
1580;console Assert only int error levels are set;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";New class Translator\Loader\PhpMemoryArray;This translator loader takes a php array that already exists instead of loading it from a file like Translator\Loader\PhpArray does. This is beneficial when you already have the translations in memory or when using a service like Google App Engine where disk IO is an expensive API call. It is also useful when translations come from a centralized place like memcached which is what prompted me to write this loader.;0
1581;dbpgsqltest Fix testDisconnect;"Fix incomplete test introduced in 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Usage of a function in loops should be avoided;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";0
1582;travisci Print list of PEAR packages installed and their versions;"No description provided.
 
 
 
 
 
 
 

 The text was updated successfully but these errors were encountered";Zend\Soap\ServerNEWáadd a getSoap method return the internal instance;"Currently we are no able to access of the internal SoapServer instance. But in certain case especially when we need to send a soapfault with the setReturnResponse at true we need an access to the internal instance.
So this pull request adds a proxy method getSoap which returns the internal SoapServer instance.
Code is unittested";0
